Date,Close,Volume,Daily_Return_Pct,Year,Month,DayOfWeek,Quarter
2022-04-28 00:00:00,292.5,124948500.0,-0.454,2022,4,3,2
2022-04-29 00:00:00,290.25,88133100.0,-0.769,2022,4,4,2
2022-05-02 00:00:00,300.98,75781500.0,3.696,2022,5,0,2
2022-05-03 00:00:00,303.08,63709500.0,0.699,2022,5,1,2
2022-05-04 00:00:00,317.54,81643800.0,4.77,2022,5,2,2
2022-05-05 00:00:00,291.09,92519100.0,-8.329,2022,5,3,2
2022-05-06 00:00:00,288.55,72903000.0,-0.874,2022,5,4,2
2022-05-09 00:00:00,262.37,90810300.0,-9.073,2022,5,0,2
2022-05-10 00:00:00,266.68,84401700.0,1.643,2022,5,1,2
2022-05-11 00:00:00,244.67,97224600.0,-8.255,2022,5,2,2
2022-05-12 00:00:00,242.67,140313000.0,-0.817,2022,5,3,2
2022-05-13 00:00:00,256.53,92150700.0,5.713,2022,5,4,2
2022-05-16 00:00:00,241.46,86098500.0,-5.876,2022,5,0,2
2022-05-17 00:00:00,253.87,80236200.0,5.141,2022,5,1,2
2022-05-18 00:00:00,236.6,87811800.0,-6.801,2022,5,2,2
2022-05-19 00:00:00,236.47,90296700.0,-0.055,2022,5,3,2
2022-05-20 00:00:00,221.3,144973200.0,-6.417,2022,5,4,2
2022-05-23 00:00:00,224.97,88903500.0,1.657,2022,5,0,2
2022-05-24 00:00:00,209.39,89092500.0,-6.925,2022,5,1,2
2022-05-25 00:00:00,219.6,92139300.0,4.878,2022,5,2,2
2022-05-26 00:00:00,235.91,106003200.0,7.427,2022,5,3,2
2022-05-27 00:00:00,253.21,89295000.0,7.333,2022,5,4,2
2022-05-31 00:00:00,252.75,101914500.0,-0.18,2022,5,1,2
2022-06-01 00:00:00,246.79,77247900.0,-2.359,2022,6,2,2
2022-06-02 00:00:00,258.33,93473100.0,4.677,2022,6,3,2
2022-06-03 00:00:00,234.52,112393800.0,-9.219,2022,6,4,2
2022-06-06 00:00:00,238.28,84204600.0,1.605,2022,6,0,2
2022-06-07 00:00:00,238.89,72808500.0,0.255,2022,6,1,2
2022-06-08 00:00:00,241.87,76210500.0,1.247,2022,6,2,2
2022-06-09 00:00:00,239.71,96491400.0,-0.893,2022,6,3,2
2022-06-10 00:00:00,232.23,97536600.0,-3.119,2022,6,4,2
2022-06-13 00:00:00,215.74,102767400.0,-7.102,2022,6,0,2
2022-06-14 00:00:00,220.89,97988700.0,2.389,2022,6,1,2
2022-06-15 00:00:00,233.0,119131800.0,5.482,2022,6,2,2
2022-06-16 00:00:00,213.1,107390700.0,-8.541,2022,6,3,2
2022-06-17 00:00:00,216.76,92641800.0,1.717,2022,6,4,2
2022-06-21 00:00:00,237.04,122793000.0,9.354,2022,6,1,2
2022-06-22 00:00:00,236.09,101107500.0,-0.401,2022,6,2,2
2022-06-23 00:00:00,235.07,104202600.0,-0.431,2022,6,3,2
2022-06-24 00:00:00,245.71,95770800.0,4.525,2022,6,4,2
2022-06-27 00:00:00,244.92,89178300.0,-0.32,2022,6,0,2
2022-06-28 00:00:00,232.66,90391200.0,-5.004,2022,6,1,2
2022-06-29 00:00:00,228.49,82897200.0,-1.794,2022,6,2,2
2022-06-30 00:00:00,224.47,94600500.0,-1.758,2022,6,3,2
2022-07-01 00:00:00,227.26,74460300.0,1.243,2022,7,4,3
2022-07-05 00:00:00,233.07,84581100.0,2.554,2022,7,1,3
2022-07-06 00:00:00,231.73,71853600.0,-0.572,2022,7,2,3
